id,case_number,date,block,iucr_code,primary_type,description,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location,Year,Month,DayOfWeek
10000000,SS442871,2022-03-04 07:47:00,78XX N PULASKI RD,740,THEFT,THEFT OVER $500,RESTAURANT,False,False,212,8,15.0,18.0,15,1151489.0,1867491.0,2022,2022-03-13 07:47:00,41.71608165,-87.67342345,"(41.71608165, -87.67342345)",2022,3,Friday
10000001,WW348136,2015-06-27 19:34:00,99XX E HALSTED ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,RESIDENCE,False,False,711,14,6.0,71.0,07,1185228.0,1853665.0,2015,2015-07-01 19:34:00,41.94851207,-87.62679436,"(41.94851207, -87.62679436)",2015,6,Saturday
10000002,GG525832,2021-03-31 10:20:00,51XX W ASHLAND AVE,910,VANDALISM,CRIMINAL DAMAGE,BAR OR TAVERN,False,True,811,2,15.0,5.0,14,1185895.0,1867010.0,2021,2021-04-27 10:20:00,41.96394084,-87.62984598,"(41.96394084, -87.62984598)",2021,3,Wednesday
10000003,NC685131,2019-04-26 13:29:00,1XX E COTTAGE GROVE AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,BAR OR TAVERN,False,False,221,9,36.0,2.0,13,1155577.0,1884781.0,2019,2019-05-13 13:29:00,41.77004756,-87.60771146,"(41.77004756, -87.60771146)",2019,4,Friday
10000004,YT673638,2017-09-07 05:56:00,78XX W PULASKI RD,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,122,3,6.0,63.0,15,1197342.0,1863210.0,2017,2017-09-26 05:56:00,41.72772815,-87.60207475,"(41.72772815, -87.60207475)",2017,9,Thursday
10000005,CR348066,2017-07-26 06:02:00,61XX W PULASKI RD,560,ASSAULT,SIMPLE,GAS STATION,True,False,611,11,5.0,66.0,07,1194119.0,1896096.0,2017,2017-08-23 06:02:00,41.85177018,-87.58299423,"(41.85177018, -87.58299423)",2017,7,Wednesday
10000006,XE039726,2015-11-05 14:55:00,62XX S NORTH AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,True,1811,19,7.0,7.0,14,1192434.0,1863304.0,2015,2015-12-03 14:55:00,41.98069888,-87.52208991,"(41.98069888, -87.52208991)",2015,11,Thursday
10000007,QK559272,2018-07-08 05:37:00,73XX S STATE ST,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RETAIL STORE,False,True,121,18,34.0,21.0,04A,1183760.0,1890235.0,2018,2018-07-24 05:37:00,41.74574749,-87.62148947,"(41.74574749, -87.62148947)",2018,7,Sunday
10000008,YD115267,2021-01-11 10:16:00,2XX E WESTERN AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,RESTAURANT,False,False,912,12,5.0,32.0,15,1199192.0,1914567.0,2021,2021-01-16 10:16:00,41.85296539,-87.70924486,"(41.85296539, -87.70924486)",2021,1,Monday
10000009,DI878822,2018-09-28 19:40:00,48XX S DIVISION ST,910,VANDALISM,CRIMINAL DAMAGE,HOSPITAL BUILDING/GROUNDS,False,False,1911,6,48.0,57.0,02,1184550.0,1861924.0,2018,2018-10-07 19:40:00,41.72356216,-87.51648472,"(41.72356216, -87.51648472)",2018,9,Friday
