iucr_code,primary_type,description,index_code
110,HOMICIDE,FIRST DEGREE MURDER,I
130,HOMICIDE,SECOND DEGREE MURDER,I
141,HOMICIDE,INVOLUNTARY MANSLAUGHTER,I
142,HOMICIDE,RECKLESS HOMICIDE,I
261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,I
262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM,I
263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,I
264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,I
265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,I
266,CRIM SEXUAL ASSAULT,PREDATORY,I
270,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,I
271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM,I
272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,I
273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,I
274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,I
275,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,I
281,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,I
312,ROBBERY,ARMED: HANDGUN,I
313,ROBBERY,ARMED: OTHER FIREARM,I
314,ROBBERY,ARMED: KNIFE/CUTTING INSTRUMENT,I
320,ROBBERY,STRONGARM - NO WEAPON,I
325,ROBBERY,AGGRAVATED,I
326,ROBBERY,ATTEMPT: ARMED - HANDGUN,I
330,ROBBERY,ATTEMPT: ARMED - OTHER FIREARM,I
331,ROBBERY,ATTEMPT: ARMED - KNIFE,I
334,ROBBERY,ATTEMPT: STRONGARM - NO WEAPON,I
460,BATTERY,SIMPLE,N
461,BATTERY,AGGRAVATED: HANDGUN,I
462,BATTERY,AGGRAVATED: OTHER FIREARM,I
470,BATTERY,AGGRAVATED: KNIFE/CUTTING INSTR,I
479,BATTERY,AGGRAVATED: OTHER DANG WEAPON,I
480,BATTERY,AGGRAVATED: OTHER BODILY HARM,I
484,BATTERY,PRO EMP: HANDS/FEET,N
485,BATTERY,DOMESTIC BATTERY SIMPLE,N
486,BATTERY,DOMESTIC BATTERY AGGRAVATED,I
487,BATTERY,AGGRAVATED OF A CHILD,I
488,BATTERY,AGGRAVATED POLICE OFFICER,I
489,BATTERY,AGGRAVATED: OTHER DANG WEAPON,I
495,BATTERY,ATTEMPT AGGRAVATED: HANDGUN,I
496,BATTERY,ATTEMPT AGG: OTHER FIREARM,I
497,BATTERY,ATTEMPT AGG: KNIFE/CUTTING INSTR,I
498,BATTERY,ATTEMPT AGG: OTHER DANG WEAPON,I
510,ASSAULT,AGGRAVATED: HANDGUN,I
520,ASSAULT,AGGRAVATED: OTHER FIREARM,I
530,ASSAULT,AGGRAVATED: KNIFE/CUTTING INSTR,I
545,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,I
550,ASSAULT,AGGRAVATED POLICE OFFICER,I
555,ASSAULT,PRO EMP: FIREARM,I
556,ASSAULT,PRO EMP: OTHER DANG WEAPON,I
558,ASSAULT,PRO EMP: HANDS/FIST/FEET,N
560,ASSAULT,SIMPLE,N
580,ASSAULT,ATTEMPT AGGRAVATED: HANDGUN,I
590,ASSAULT,ATTEMPT AGG: OTHER FIREARM,I
610,BURGLARY,FORCIBLE ENTRY,I
620,BURGLARY,UNLAWFUL ENTRY,I
630,BURGLARY,ATTEMPT FORCIBLE ENTRY,I
650,MOTOR VEHICLE THEFT,AUTOMOBILE,I
660,MOTOR VEHICLE THEFT,TRUCK,I
670,MOTOR VEHICLE THEFT,CYCLE,I
680,MOTOR VEHICLE THEFT,AUTOMOBILE - ATTEMPT,I
710,THEFT,POCKET-PICKING,I
720,THEFT,PURSE-SNATCHING,I
730,THEFT,SHOPLIFTING,N
740,THEFT,THEFT OVER $500,I
750,THEFT,THEFT $500 AND UNDER,N
760,THEFT,ATTEMPT THEFT,N
770,THEFT,DECEPTIVE PRACTICE,N
780,THEFT,FINANCIAL IDENTITY THEFT OVER $300,N
790,THEFT,FINANCIAL IDENTITY THEFT $300 AND UNDER,N
800,ARSON,AGGRAVATED,I
810,ARSON,SIMPLE,N
820,ARSON,ATTEMPT,N
840,DECEPTIVE PRACTICE,FORGERY,N
850,DECEPTIVE PRACTICE,FRAUD,N
860,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT,N
870,DECEPTIVE PRACTICE,COUNTERFEITING,N
880,DECEPTIVE PRACTICE,THEFT BY LESSEE,N
890,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION,N
895,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,N
910,VANDALISM,CRIMINAL DAMAGE,N
920,VANDALISM,CRIMINAL DEFACEMENT,N
1010,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN,I
1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,I
1025,WEAPONS VIOLATION,AGGRAVATED UNLAWFUL POSSESSION,I
